,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,convnet,ft_resnet,pt_resnet,resnet
0,0.0,0.0,0.0,0.0,,,0.3798388540744781,
1,1.0,1.0,1.0,1.0,,,0.3353566527366638,
2,2.0,2.0,2.0,2.0,,,0.3185787200927734,
3,3.0,3.0,3.0,3.0,,,0.3025045394897461,
4,4.0,4.0,4.0,4.0,,,0.2908587157726288,
5,5.0,5.0,5.0,5.0,,,0.2861481308937073,
6,6.0,6.0,6.0,6.0,,,0.2767828404903412,
7,7.0,7.0,7.0,7.0,,,0.2833714485168457,
8,8.0,8.0,8.0,8.0,,,0.2711795270442962,
9,9.0,9.0,9.0,9.0,,,0.2694191932678222,
10,10.0,10.0,10.0,10.0,,,0.2571762204170227,
11,11.0,11.0,11.0,11.0,,,0.2492532581090927,
12,12.0,12.0,12.0,12.0,,,0.2392837256193161,
13,13.0,13.0,13.0,13.0,,,0.2807967066764831,
14,14.0,14.0,14.0,14.0,,,0.245063379406929,
15,15.0,15.0,15.0,15.0,,,0.2407981306314468,
16,16.0,16.0,16.0,16.0,,,0.2382688820362091,
17,17.0,17.0,17.0,17.0,,,0.2382277250289917,
18,18.0,18.0,18.0,18.0,,,0.2349306941032409,
19,19.0,19.0,19.0,19.0,,,0.2333841323852539,
20,,,,,,,0.25242695212364197,
21,,,,,,,0.2633098363876343,
22,,,,,,,0.24156519770622253,
23,,,,,,,0.2278745025396347,
24,,,,,,,0.21944504976272583,
25,,,,,,,0.2164967954158783,
26,,,,,,,0.26961052417755127,
27,,,,,,,0.2525590658187866,
28,,,,,,,0.22239023447036743,
29,,,,,,,0.22136029601097107,
